AccidentYear,STATE,STATENAME,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERSONS,PERMVIT,PERNOTMVIT,COUNTY,COUNTYNAME,CITYNAME,DAY,MONTH,YEAR,DAY_WEEK,DAY_WEEKNAME,HOUR,HOURNAME,MINUTENAME,NHSNAME,ROUTE,ROUTENAME,TWAY_ID,TWAY_ID2,RUR_URB,RUR_URBNAME,FUNC_SYS,FUNC_SYSNAME,RD_OWNER,RD_OWNERNAME,MILEPT,MILEPTNAME,LATITUDENAME,LONGITUDNAME,SP_JURNAME,HARM_EV,HARM_EVNAME,MAN_COLL,MAN_COLLNAME,RELJCT1,RELJCT1NAME,RELJCT2,RELJCT2NAME,TYP_INT,TYP_INTNAME,WRK_ZONENAME,REL_ROAD,REL_ROADNAME,LGT_COND,LGT_CONDNAME,WEATHER,WEATHERNAME,SCH_BUS,NOT_HOUR,NOT_HOURNAME,NOT_MINNAME,ARR_HOUR,ARR_HOURNAME,ARR_MINNAME,HOSP_HR,HOSP_HRNAME,HOSP_MNNAME,FATALS,DRUNK_DR
2016,4,Arizona,40012,1,1,0,0,2,2,0,13,MARICOPA (13),NOT APPLICABLE,17,1,2016,1,Sunday,11,11:00am-11:59am,59,This section IS ON the NHS,1,Interstate,I-8,,1,Rural,1,Interstate,1,State Highway Agency,1079,1079,32.92314167,-112.87901944,No Special Jurisdiction,24,Guardrail Face,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,None,3,On Median,1,Daylight,1,Clear,0,11,11:00am-11:59am,59,12,12:00pm-12:59pm,20,13,1:00pm-1:59pm,31,1,0
2016,4,Arizona,40013,3,2,1,0,4,4,0,13,MARICOPA (13),TEMPE,18,1,2016,2,Monday,1,1:00am-1:59am,48,This section IS NOT on the NHS,6,Local Street - Municipality,UNIVERSITY DR,,2,Urban,3,Principal Arterial - Other,4,City or Municipal Highway Agency,0,None,33.42190833,-111.95429167,No Special Jurisdiction,12,Motor Vehicle In-Transport,1,Front-to-Rear,0,No,1,Non-Junction,1,Not an Intersection,None,1,On Roadway,3,Dark - Lighted,1,Clear,0,1,1:00am-1:59am,50,1,1:00am-1:59am,56,2,2:00am-2:59am,16,1,1
2016,4,Arizona,40014,1,1,0,1,1,1,1,13,MARICOPA (13),MESA,19,1,2016,3,Tuesday,17,5:00pm-5:59pm,7,This section IS NOT on the NHS,6,Local Street - Municipality,MCLELLAN RD,FOREST,2,Urban,5,Major Collector,4,City or Municipal Highway Agency,0,None,33.44439722,-111.79206389,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,2,Intersection,3,T-Intersection,None,1,On Roadway,1,Daylight,1,Clear,0,17,5:00pm-5:59pm,7,17,5:00pm-5:59pm,10,17,5:00pm-5:59pm,53,1,0
2016,4,Arizona,40015,2,2,0,0,3,3,0,19,PIMA (19),TUCSON,22,1,2016,6,Friday,19,7:00pm-7:59pm,38,This section IS ON the NHS,6,Local Street - Municipality,KINO PKWY,AJO WAY CONNECTOR RAMP,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,0,None,32.18019444,-110.94437222,No Special Jurisdiction,12,Motor Vehicle In-Transport,99,Unknown,1,Yes,2,Intersection,3,T-Intersection,None,1,On Roadway,3,Dark - Lighted,1,Clear,0,19,7:00pm-7:59pm,38,19,7:00pm-7:59pm,45,19,7:00pm-7:59pm,57,1,1
2016,4,Arizona,40016,1,1,0,0,1,1,0,13,MARICOPA (13),AVONDALE,22,1,2016,6,Friday,21,9:00pm-9:59pm,29,This section IS NOT on the NHS,6,Local Street - Municipality,105TH LN,,2,Urban,7,Local,98,Not Reported,0,None,33.491075,-112.28660833,No Special Jurisdiction,38,Fence,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,None,5,Outside Trafficway,3,Dark - Lighted,10,Cloudy,0,21,9:00pm-9:59pm,26,21,9:00pm-9:59pm,31,22,10:00pm-10:59pm,4,1,0
2016,4,Arizona,40017,3,3,0,0,6,6,0,13,MARICOPA (13),TEMPE,23,1,2016,7,Saturday,20,8:00pm-8:59pm,23,This section IS ON the NHS,3,State Highway,SR-101,,2,Urban,2,Principal Arterial - Other Freeways and Expressways,1,State Highway Agency,540,540,33.38529722,-111.89129167,No Special Jurisdiction,12,Motor Vehicle In-Transport,1,Front-to-Rear,1,Yes,18,Through Roadway,1,Not an Intersection,None,1,On Roadway,3,Dark - Lighted,10,Cloudy,0,22,10:00pm-10:59pm,3,23,11:00pm-11:59pm,5,99,Unknown,Unknown EMS Hospital Arrival Time,1,0
2016,4,Arizona,40018,1,1,0,1,1,1,1,19,PIMA (19),NOT APPLICABLE,24,1,2016,1,Sunday,11,11:00am-11:59am,45,This section IS NOT on the NHS,4,County Road,CR-SKYLINE DR,CR-SUNRISE DR,2,Urban,3,Principal Arterial - Other,2,County Highway Agency,0,None,32.32238611,-110.92215,No Special Jurisdiction,9,Pedalcyclist,0,Not a Collision with Motor Vehicle In-Transport,0,No,3,Intersection-Related,3,T-Intersection,None,4,On Roadside,1,Daylight,1,Clear,0,11,11:00am-11:59am,48,11,11:00am-11:59am,52,88,Not Applicable (Not Transported),Not Applicable (Not Transported),1,0
2016,4,Arizona,40019,1,1,0,0,2,2,0,13,MARICOPA (13),GOODYEAR,24,1,2016,1,Sunday,15,3:00pm-3:59pm,41,This section IS NOT on the NHS,6,Local Street - Municipality,ELLIOT RD,,2,Urban,6,Minor Collector,4,City or Municipal Highway Agency,0,None,33.35540278,-112.44143611,No Special Jurisdiction,33,Curb,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,None,3,On Median,1,Daylight,1,Clear,0,15,3:00pm-3:59pm,41,15,3:00pm-3:59pm,45,16,4:00pm-4:59pm,13,1,1
2016,4,Arizona,40020,5,1,4,0,2,2,0,13,MARICOPA (13),PHOENIX,24,1,2016,1,Sunday,21,9:00pm-9:59pm,39,This section IS NOT on the NHS,6,Local Street - Municipality,WINDROSE DR,,2,Urban,7,Local,98,Not Reported,0,None,33.60165833,-111.99164167,No Special Jurisdiction,14,Parked Motor Vehicle,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,None,7,In Parking Lane/Zone,3,Dark - Lighted,1,Clear,0,99,Unknown,,99,Unknown EMS Scene Arrival Hour,,99,Unknown,Unknown EMS Hospital Arrival Time,1,1
2016,4,Arizona,40021,1,1,0,0,3,3,0,1,APACHE (1),NOT APPLICABLE,25,1,2016,2,Monday,15,3:00pm-3:59pm,43,This section IS NOT on the NHS,2,U.S. Highway,US-191,,1,Rural,5,Major Collector,1,State Highway Agency,4496,4496,36.20251389,-109.59830833,Indian Reservation,1,Rollover/Overturn,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,None,4,On Roadside,1,Daylight,1,Clear,0,15,3:00pm-3:59pm,45,15,3:00pm-3:59pm,50,18,6:00pm-6:59pm,30,1,1
2016,4,Arizona,40022,2,2,0,0,3,3,0,15,MOHAVE (15),NOT APPLICABLE,26,1,2016,3,Tuesday,13,1:00pm-1:59pm,26,This section IS ON the NHS,3,State Highway,SR-68,,1,Rural,3,Principal Arterial - Other,1,State Highway Agency,111,111,35.20615278,-114.40317222,No Special Jurisdiction,12,Motor Vehicle In-Transport,1,Front-to-Rear,0,No,1,Non-Junction,1,Not an Intersection,None,1,On Roadway,1,Daylight,1,Clear,0,13,1:00pm-1:59pm,35,13,1:00pm-1:59pm,42,14,2:00pm-2:59pm,28,1,0
2016,4,Arizona,40023,1,1,0,1,1,1,1,13,MARICOPA (13),MESA,28,1,2016,5,Thursday,10,10:00am-10:59am,32,This section IS NOT on the NHS,6,Local Street - Municipality,UNIVERSITY DR,,2,Urban,3,Principal Arterial - Other,4,City or Municipal Highway Agency,0,None,33.42281944,-111.72879722,No Special Jurisdiction,9,Pedalcyclist,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,None,1,On Roadway,1,Daylight,1,Clear,0,10,10:00am-10:59am,32,10,10:00am-10:59am,44,88,Not Applicable (Not Transported),Not Applicable (Not Transported),1,0
2016,4,Arizona,40024,1,1,0,0,1,1,0,19,PIMA (19),NOT APPLICABLE,28,1,2016,5,Thursday,21,9:00pm-9:59pm,10,This section IS NOT on the NHS,5,Local Street - Township,CAMINO AURELIA,,1,Rural,7,Local,98,Not Reported,0,None,31.928475,-110.74936389,No Special Jurisdiction,1,Rollover/Overturn,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,None,4,On Roadside,2,Dark - Not Lighted,1,Clear,0,21,9:00pm-9:59pm,10,21,9:00pm-9:59pm,20,88,Not Applicable (Not Transported),Not Applicable (Not Transported),1,0
2016,4,Arizona,40025,1,1,0,0,1,1,0,13,MARICOPA (13),EL MIRAGE,30,1,2016,7,Saturday,20,8:00pm-8:59pm,28,This section IS NOT on the NHS,6,Local Street - Municipality,PEORIA AVE,121ST AVE,2,Urban,7,Local,98,Not Reported,0,None,33.57991944,-112.32040278,No Special Jurisdiction,38,Fence,0,Not a Collision with Motor Vehicle In-Transport,0,No,3,Intersection-Related,10,L-Intersection,None,5,Outside Trafficway,2,Dark - Not Lighted,1,Clear,0,99,Unknown,,99,Unknown EMS Scene Arrival Hour,,88,Not Applicable (Not Transported),Not Applicable (Not Transported),1,1
2016,4,Arizona,40026,1,1,0,1,1,1,1,13,MARICOPA (13),SCOTTSDALE,9,1,2016,7,Saturday,19,7:00pm-7:59pm,20,This section IS NOT on the NHS,6,Local Street - Municipality,92ND ST,,2,Urban,4,Minor Arterial,4,City or Municipal Highway Agency,0,None,33.587225,-111.88258889,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,None,4,On Roadside,3,Dark - Lighted,1,Clear,0,19,7:00pm-7:59pm,21,19,7:00pm-7:59pm,23,19,7:00pm-7:59pm,47,1,0
2016,4,Arizona,40027,1,1,0,0,1,1,0,13,MARICOPA (13),NOT APPLICABLE,13,1,2016,4,Wednesday,13,1:00pm-1:59pm,43,This section IS ON the NHS,1,Interstate,I-10,,1,Rural,1,Interstate,1,State Highway Agency,795,795,33.54366111,-113.18451111,No Special Jurisdiction,1,Rollover/Overturn,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,None,4,On Roadside,1,Daylight,10,Cloudy,0,13,1:00pm-1:59pm,50,14,2:00pm-2:59pm,29,15,3:00pm-3:59pm,7,1,0
2016,4,Arizona,40028,2,2,0,0,3,3,0,19,PIMA (19),TUCSON,14,1,2016,5,Thursday,16,4:00pm-4:59pm,10,This section IS NOT on the NHS,4,County Road,CR-VALENCIA RD,CR-CAMINO DE OESTE,2,Urban,4,Minor Arterial,2,County Highway Agency,0,None,32.13338056,-111.06286111,No Special Jurisdiction,12,Motor Vehicle In-Transport,6,Angle,0,No,2,Intersection,2,Four-Way Intersection,None,1,On Roadway,1,Daylight,1,Clear,0,16,4:00pm-4:59pm,11,16,4:00pm-4:59pm,16,99,Unknown,Unknown EMS Hospital Arrival Time,1,0
2016,4,Arizona,40029,1,1,0,0,4,4,0,17,NAVAJO (17),SHOW LOW,15,1,2016,6,Friday,19,7:00pm-7:59pm,46,This section IS NOT on the NHS,2,U.S. Highway,US-60 DEUCE OF CLUBS,,1,Rural,4,Minor Arterial,1,State Highway Agency,3026,3026,34.21860278,-110.07244722,No Special Jurisdiction,42,Tree (Standing Only),0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,None,4,On Roadside,2,Dark - Not Lighted,4,Snow,0,19,7:00pm-7:59pm,46,19,7:00pm-7:59pm,55,20,8:00pm-8:59pm,21,1,0
2016,4,Arizona,40030,1,1,0,0,2,2,0,21,PINAL (21),NOT APPLICABLE,9,1,2016,7,Saturday,21,9:00pm-9:59pm,22,This section IS ON the NHS,1,Interstate,I-10,,1,Rural,1,Interstate,1,State Highway Agency,1788,1788,33.08509722,-111.81695278,Indian Reservation,1,Rollover/Overturn,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,None,4,On Roadside,2,Dark - Not Lighted,1,Clear,0,21,9:00pm-9:59pm,22,21,9:00pm-9:59pm,35,99,Unknown,Unknown EMS Hospital Arrival Time,1,0
2016,4,Arizona,40031,3,2,1,0,2,2,0,25,YAVAPAI (25),NOT APPLICABLE,16,1,2016,7,Saturday,8,8:00am-8:59am,15,This section IS NOT on the NHS,3,State Highway,SR-169,ORME RD,1,Rural,4,Minor Arterial,1,State Highway Agency,50,50,34.54588056,-112.1589,No Special Jurisdiction,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,2,Intersection,3,T-Intersection,None,1,On Roadway,1,Daylight,1,Clear,0,8,8:00am-8:59am,15,8,8:00am-8:59am,26,99,Unknown,Unknown EMS Hospital Arrival Time,1,0
2016,4,Arizona,40032,2,2,0,0,7,7,0,1,APACHE (1),NOT APPLICABLE,15,1,2016,6,Friday,99,Unknown Hours,,This section IS NOT on the NHS,2,U.S. Highway,US-191,,1,Rural,5,Major Collector,1,State Highway Agency,4872,4872,36.62705833,-109.58377778,Indian Reservation,23,Bridge Rail (Includes parapet),0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,None,4,On Roadside,1,Daylight,4,Snow,0,12,12:00pm-12:59pm,45,13,1:00pm-1:59pm,20,14,2:00pm-2:59pm,35,1,0
2016,4,Arizona,40033,2,2,0,0,3,3,0,13,MARICOPA (13),PEORIA,25,1,2016,2,Monday,12,12:00pm-12:59pm,9,This section IS NOT on the NHS,6,Local Street - Municipality,THUNDERBIRD RD,91ST AVE,2,Urban,4,Minor Arterial,4,City or Municipal Highway Agency,0,None,33.60968056,-112.25504444,No Special Jurisdiction,12,Motor Vehicle In-Transport,8,Sideswipe - Opposite Direction,0,No,2,Intersection,3,T-Intersection,None,1,On Roadway,1,Daylight,1,Clear,0,12,12:00pm-12:59pm,9,12,12:00pm-12:59pm,13,12,12:00pm-12:59pm,36,1,0
2016,4,Arizona,40034,1,1,0,0,2,2,0,5,COCONINO (5),NOT APPLICABLE,2,2,2016,3,Tuesday,9,9:00am-9:59am,25,This section IS ON the NHS,3,State Highway,SR-64,,1,Rural,3,Principal Arterial - Other,1,State Highway Agency,115,115,35.41798056,-112.17033333,No Special Jurisdiction,1,Rollover/Overturn,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,None,4,On Roadside,1,Daylight,1,Clear,0,9,9:00am-9:59am,25,10,10:00am-10:59am,0,99,Unknown,Unknown EMS Hospital Arrival Time,1,0
2016,4,Arizona,40035,1,1,0,1,1,1,1,13,MARICOPA (13),TEMPE,2,2,2016,3,Tuesday,13,1:00pm-1:59pm,25,This section IS NOT on the NHS,6,Local Street - Municipality,BROADWAY RD,I-10 RAMP,2,Urban,3,Principal Arterial - Other,4,City or Municipal Highway Agency,0,None,33.40907778,-111.96944444,No Special Jurisdiction,9,Pedalcyclist,0,Not a Collision with Motor Vehicle In-Transport,1,Yes,2,Intersection,2,Four-Way Intersection,None,1,On Roadway,1,Daylight,1,Clear,0,13,1:00pm-1:59pm,25,13,1:00pm-1:59pm,30,13,1:00pm-1:59pm,48,1,0
2016,4,Arizona,40036,2,2,0,1,2,2,1,19,PIMA (19),TUCSON,4,2,2016,5,Thursday,6,6:00am-6:59am,36,This section IS NOT on the NHS,6,Local Street - Municipality,1ST AVE,,2,Urban,3,Principal Arterial - Other,4,City or Municipal Highway Agency,0,None,32.2507,-110.96098333,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,None,1,On Roadway,6,Dark - Unknown Lighting,1,Clear,0,6,6:00am-6:59am,36,6,6:00am-6:59am,47,6,6:00am-6:59am,51,1,0
2016,4,Arizona,40037,2,2,0,0,3,3,0,13,MARICOPA (13),NOT APPLICABLE,4,2,2016,5,Thursday,16,4:00pm-4:59pm,56,This section IS ON the NHS,1,Interstate,I-10,,1,Rural,1,Interstate,1,State Highway Agency,941,941,33.49775278,-112.93801389,No Special Jurisdiction,12,Motor Vehicle In-Transport,1,Front-to-Rear,1,Yes,18,Through Roadway,1,Not an Intersection,None,1,On Roadway,1,Daylight,1,Clear,0,16,4:00pm-4:59pm,57,17,5:00pm-5:59pm,22,18,6:00pm-6:59pm,29,1,0
2016,4,Arizona,40038,2,2,0,0,2,2,0,21,PINAL (21),CASA GRANDE,5,2,2016,6,Friday,6,6:00am-6:59am,58,This section IS NOT on the NHS,6,Local Street - Municipality,MARICOPA CASA GRANDE HWY,,1,Rural,4,Minor Arterial,4,City or Municipal Highway Agency,0,None,32.96647222,-111.90112222,No Special Jurisdiction,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,None,1,On Roadway,4,Dawn,1,Clear,0,7,7:00am-7:59am,4,7,7:00am-7:59am,18,7,7:00am-7:59am,55,1,0
2016,4,Arizona,40039,2,2,0,0,2,2,0,13,MARICOPA (13),TEMPE,5,2,2016,6,Friday,12,12:00pm-12:59pm,23,This section IS ON the NHS,3,State Highway,SR-101,,2,Urban,2,Principal Arterial - Other Freeways and Expressways,1,State Highway Agency,334,334,33.65787778,-111.92426111,No Special Jurisdiction,12,Motor Vehicle In-Transport,1,Front-to-Rear,1,Yes,18,Through Roadway,1,Not an Intersection,None,1,On Roadway,1,Daylight,1,Clear,0,12,12:00pm-12:59pm,23,12,12:00pm-12:59pm,33,13,1:00pm-1:59pm,5,1,0
2016,4,Arizona,40040,4,4,0,0,7,7,0,27,YUMA (27),NOT APPLICABLE,5,2,2016,6,Friday,16,4:00pm-4:59pm,8,This section IS NOT on the NHS,4,County Road,CR-FORTUNA RD,,2,Urban,4,Minor Arterial,2,County Highway Agency,0,None,32.66618333,-114.44415,No Special Jurisdiction,12,Motor Vehicle In-Transport,7,Sideswipe - Same Direction,0,No,1,Non-Junction,1,Not an Intersection,None,1,On Roadway,1,Daylight,1,Clear,0,16,4:00pm-4:59pm,8,16,4:00pm-4:59pm,12,16,4:00pm-4:59pm,38,1,0
2016,4,Arizona,40041,2,2,0,0,2,2,0,15,MOHAVE (15),NOT APPLICABLE,8,2,2016,2,Monday,23,11:00pm-11:59pm,26,This section IS ON the NHS,3,State Highway,SR-95,CAMP MOHAVE RD,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,1283,1283,35.02623056,-114.59796111,No Special Jurisdiction,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,3,Intersection-Related,2,Four-Way Intersection,None,1,On Roadway,2,Dark - Not Lighted,1,Clear,0,23,11:00pm-11:59pm,28,23,11:00pm-11:59pm,34,23,11:00pm-11:59pm,53,1,1
2016,4,Arizona,40042,1,1,0,0,3,3,0,19,PIMA (19),TUCSON,9,2,2016,3,Tuesday,1,1:00am-1:59am,23,This section IS ON the NHS,6,Local Street - Municipality,GOLF LINKS RD,,2,Urban,2,Principal Arterial - Other Freeways and Expressways,4,City or Municipal Highway Agency,0,None,32.19245833,-110.87759722,No Special Jurisdiction,33,Curb,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,None,4,On Roadside,3,Dark - Lighted,1,Clear,0,1,1:00am-1:59am,23,1,1:00am-1:59am,34,1,1:00am-1:59am,52,1,0
2016,4,Arizona,40043,1,1,0,0,1,1,0,13,MARICOPA (13),GOODYEAR,10,2,2016,4,Wednesday,13,1:00pm-1:59pm,35,This section IS NOT on the NHS,6,Local Street - Municipality,PEBBLE CREEK PKWY,CLUBHOUSE DR,2,Urban,3,Principal Arterial - Other,4,City or Municipal Highway Agency,0,None,33.48722778,-112.39744167,No Special Jurisdiction,1,Rollover/Overturn,0,Not a Collision with Motor Vehicle In-Transport,0,No,2,Intersection,2,Four-Way Intersection,None,1,On Roadway,1,Daylight,1,Clear,0,13,1:00pm-1:59pm,36,13,1:00pm-1:59pm,39,13,1:00pm-1:59pm,58,1,1
